Open;High;Low;Close;Volume;10dPerf
10777.53;10841.89;10389.6;10599.11;17130580467;-0.0668696835718298
10525.82;11048.66;10451.28;10767.14;20206615155;-0.114290203356062
10653.96;10716.98;10229.63;10530.73;20727426310;-0.162486947074912
9698.5;10736.84;9376.8;10666.48;25187024648;-0.131815503224819
9471.21;9963.13;9163.13;9693.8;24569921549;-0.153442757524551
10896.65;10996.63;9448.11;9477.64;24151199070;-0.15442764675181
10257.84;11052.77;9992.01;10895.09;25384047207;-0.00759396126596978
11381.02;11451.2;10234.58;10256.06;22486000001;-0.085541004187085
11813.13;11841.96;10908.48;11392.38;21042616384;-0.0475610031376268
11354.3;11905.49;11179.14;11815.99;23534692797;0.0939029854615208
12139.71;12144.62;11158.92;11358.66;28595327690;0.0732798330928564
12571.54;13129.53;11710.98;12156.51;33627574244;0.123817157183586
12284.33;12779.13;12233.26;12573.81;28167921523;0.0513772882685291
11446.6;12345.83;11393.37;12285.96;23482551458;-0.00978212073024587
11217.62;11541.62;11148.8;11450.85;19369044277;0.0239689308858866
10982.54;11620.97;10982.54;11208.55;21092024306;-0.138878922698815
11203.1;11395.66;10874.96;10978.46;23838480210;-0.0689055646209118
11972.72;12006.08;11166.57;11215.44;25920294033;0.0185576372932768
10818.16;11968.08;10818.16;11961.27;30796494294;0.101875845779554
10588.68;10912.19;9737.88;10801.68;31015895223;0.00934338408232716
10796.93;11206.44;10089.31;10583.13;29378589324;0.043232037663536
11931.99;12178.38;10799.01;10817.16;27256473494;0.135402365447835
12400.76;12400.91;11508.38;11959.37;29923961128;0.289625730035628
11162.17;12445.18;10914.49;12407.33;35087757766;0.366181224784623
13017.12;13311.14;10491.85;11182.81;39977475223;0.199827259705912
11778.58;13796.49;11755.6;13016.23;45105733173;0.447133745215126
11007.2;11790.92;11007.2;11790.92;24879684533;0.334058956505604
10853.74;11065.9;10610.43;11011.1;19271652365;0.266541903855953
10696.69;11246.14;10556.1;10855.37;20998326502;0.318852570551044
10175.92;11157.35;10107.04;10701.69;29995204861;0.313758154449009
9525.07;10144.56;9525.07;10144.56;20624008643;0.279633084459447
9273.06;9594.42;9232.48;9527.16;17846823784;0.190845877607549
9078.73;9299.62;9070.4;9273.52;15546809946;0.206220538808129
9335.47;9348.37;9004.9;9081.76;15848210536;0.141766604267217
8988.92;9416.41;8988.92;9320.35;15562951919;0.158678261301972
8841.44;9335.87;8814.56;8994.49;23348550311;0.149893505769609
8689.75;8859.13;8618.4;8838.38;18371033226;0.129616588469408
8230.9;8710.64;8183.39;8693.83;19831162906;0.127930646607255
8145.55;8311.57;8087.06;8230.92;18669407147;0.00267146140999075
7925.43;8196.65;7862.36;8145.86;19034432883;-0.0682949481640085
8004.24;8026.39;7772.8;7927.71;17107279932;-0.0743003869678025
7692.28;8031.91;7586.73;8000.33;18689275117;-0.0669625051023384
7949.67;7975.97;7583.22;7688.08;16610726547;-0.0758930556874415
8036.77;8076.89;7837.61;7954.13;16522722810;-0.0814551434322345
7826.9;8126.15;7788.37;8043.95;19141423231;-0.0775244381854961
7819.63;7937.34;7571.47;7822.02;19474611077;-0.11171753098533
7704.34;7901.85;7668.67;7824.23;21760923463;-0.0978863674621421
8210.99;8210.99;7564.49;7707.77;24609731549;-0.0428150620797909
8741.75;8743.5;8204.19;8208.99;22004511436;0.0277463044781949
8565.47;8809.3;8561.24;8742.96;20266216022;0.109252269454506
8573.84;8625.6;8481.58;8564.02;22488303544;0.115096607192382
8320.29;8586.66;8172.55;8574.5;25365190957;0.0767480438459791
8661.76;9008.31;8221.27;8319.47;29246528551;0.042760935586609
8718.59;8755.85;8482.73;8659.49;23473479966;0.0563329425728467
8802.76;8807.02;8634.72;8719.96;24226919267;0.199244692423957
8674.07;8907.17;8668.7;8805.78;27949839564;0.199060444722831
8055.21;8687.52;7924.67;8673.22;26677970091;0.0999770447601811
7991.89;8117.93;7965.98;8052.54;22256813107;-0.0186016864976594
7881.7;8140.72;7824.45;7987.37;25919126991;-0.00088186510090793
7677.27;7943.79;7533.2;7881.85;24457107820;0.00856438709545326
7956.29;7997.61;7615.99;7680.07;24719473175;0.101500637516368
7977.97;8062.17;7843.34;7963.33;25127245056;0.105285803710597
8196.92;8200.97;7678.78;7978.31;23843404340;0.250744256409855
7267.96;8261.94;7267.96;8197.69;25902422040;0.327662186433623
7341.66;7447.27;7251.5;7271.21;21354286562;0.215421415270641
7886.93;7929.15;7038.12;7343.9;30066644905;0.259782142550819
8194.5;8320.82;7729.61;7884.91;33167197581;0.372049885066672
7989.37;8216.42;7899.11;8205.17;28344112920;0.415731635985928
7807.88;8268.71;7696.39;7994.42;32031452227;0.370980437888108
6971.18;8047.41;6898.28;7814.92;28677672181;0.354807057204128
7203.51;7503.87;6815.77;6972.37;27773333680;0.266487808067891
6379.67;7333;6375.7;7204.77;28867562329;0.333549891720806
6175.82;6434.62;6161.52;6378.85;19419875368;0.192145744599335
5982.32;6183.04;5982.32;6174.53;16784645411;0.176694903141586
5849.48;5989.98;5794.72;5982.46;15320605300;0.131939740479912
5745.6;5988.18;5741.4;5829.5;18026409033;0.106526026471587
5791.69;5802.96;5653.69;5746.81;15737171804;0.0885449913341605
5831.07;5833.86;5708.04;5795.71;14808830723;0.112309328051711
5769.2;5886.89;5645.47;5831.17;17567780766;0.0670281269270816
