EBIT Margin;NI Margin;Minorities;NI to Common Margin;EBITDA margin;Total Sales;EBIT (Operating Income);EBITDA;Working Capital;Total Capital;Total Debt;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;ST Debt & Curr. Portion LT Debt;Accounts Payable;Provision for Risks & Charges;Total Equity;Total Liabilities & Shareholders' Equity;Working Capital;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;Long Term Debt Maturities;Free Cash Flow;"0 - no fraud
1- fraud"
0.353789972;-0.510486141;-2051.590504;-0.52585398;0.500215554;0.258336944;0.545269118;0.360336363;2364.478325;14279.42888;1662.904075;-202.733575;139.7569427;20.41365952;22.20181142;-0.307653704;0.009382508;-1;-0.060259306;0.031738039;0.366715705;-0.814367064;0.155199713;0.126080517;0.04066277;-0.307653704;-357.66299;0
0.299693833;-0.592290207;-2547.909896;-0.59117688;0.461706174;0.104691747;-0.064220779;0.019646421;2284.73322;12429.12396;2621.27982;574.31976;150.5928104;17.17921745;17.27941525;14.43634001;-0.164614657;0;-0.221704712;-0.118481248;-0.0337263;-3.832879359;0.077533663;-0.158444989;-0.221711467;14.43634001;-854.60145;0
-0.01744562;-0.046196408;-11.789;-0.046196408;0.074437778;0.098114393;-0.653944812;0.940743768;27.623;210.141;14.498;-47.266;0;94.95480871;33.43899445;0.272006344;-0.29815534;0;0.026636301;0.051328357;2.955749678;0.883858111;0;0.018666131;-0.026613775;0.272006344;37.282;0
0.005295266;-0.008132887;-2.333;-0.008132887;0.091518511;0.124090394;-1.341194969;0.382027795;43.826;222.483;23.681;-44.114;0;100.7662623;19.76894705;0.290648379;-0.532715452;0;0.016146757;0.080027341;0.586576404;-0.066686413;0;0.061202309;-0.408805576;0.290648379;39.977;0
-0.005948638;-0.030086495;-9.903;-0.030086495;0.070651464;0.147427316;-2.289005925;-0.114196473;27.273;201.69;26.425;-16.59;0;104.3626254;11.85149589;0.290020288;0.012729426;0;-0.118394181;-0.026033741;-0.37769817;-0.623928911;0;0.035690151;-0.400499386;0.290020288;41.848;1
0.004490032;-0.018334296;-6.762;-0.018334296;0.100711193;0.120510039;-1.845760981;0.597247904;130.417;426.916;33.039;-113.947;0;92.5189796;0;0.26900322;0.65419468;0;1.247322626;0.591294865;3.781908848;5.868414708;0;-0.11348551;-1;0.26900322;52.795;1
-0.291190607;-0.293328493;-117.173;-0.293328493;-0.14765934;0.083084565;-71.24094203;-2.587981908;56.556;925.76;20.907;-95.846;0;84.52857608;0;-0.238477427;0.273016434;0;1.297298395;0.98989422;-0.566344878;-0.158854555;0;-0.08636502;0;-0.238477427;-63.018;1
-0.295037282;-0.697295744;-281.393;-0.697295744;-0.150911042;0.010236319;0.023581702;0.032483385;-70.936;664.843;8.351;-36.774;0;97.45311598;28.0372396;-0.515809051;2.871321488;0;-0.274476628;-0.087753125;-2.254261263;-0.616322017;0;0.152901427;0;-0.515809051;-66.587;0
-0.199081248;-0.379677793;-159.268;-0.379677793;-0.079593403;0.039482194;-0.29859233;-0.451756979;-23.157;732.512;180.945;130.747;0;84.78021703;45.19732036;-0.612516005;0.069812471;-1;-0.159826776;-0.066797139;-0.673550806;-4.55541959;0;-0.130040982;0.612046015;-0.612516005;-76.781;0
0.06628077;0.022041256;125.411;0.016112898;0.126885648;0.097911642;-0.178811963;0.07754609;-939.889;12995.05;11923.589;9410.357;23.28871685;108.7319507;258.9938267;-0.109542693;0.035559557;0.081535452;0.061034789;0.093204492;-26.51619384;0.648999791;-0.077739228;0.069894126;-0.032143617;-0.109542693;25.211;0
